1,2,2057.86,MONTHLY
2,4,4558.85,MONTHLY
3,6,3969.67,MONTHLY
4,8,1621.79,MONTHLY
5,10,2127.03,MONTHLY
6,12,1842.52,MONTHLY
7,14,2371.52,MONTHLY
8,16,3749.99,MONTHLY
9,18,4411.65,MONTHLY
10,20,3021.64,MONTHLY
11,22,2004.49,MONTHLY
12,24,4632.64,MONTHLY
13,26,1203.2,MONTHLY
14,28,3537.14,MONTHLY
15,30,4317.39,MONTHLY
16,32,1176.35,MONTHLY
17,34,2334.23,MONTHLY
18,36,1523.28,MONTHLY
19,38,4919.19,MONTHLY
20,40,1646.33,MONTHLY
21,42,2767.34,MONTHLY
22,44,3822.67,MONTHLY
23,46,3243.63,MONTHLY
24,48,1447.5,MONTHLY
25,50,4780.2,MONTHLY
26,52,3764.08,MONTHLY
27,54,1596.22,MONTHLY
28,56,1144.11,MONTHLY
29,58,2476.86,MONTHLY
30,60,3210.1,MONTHLY
31,62,2719.15,MONTHLY
32,64,1167.32,MONTHLY
33,66,2458.61,MONTHLY
34,68,4732.35,MONTHLY
35,70,4888.79,MONTHLY
36,72,1159.58,MONTHLY
37,74,2431.24,MONTHLY
38,76,3728.27,MONTHLY
39,78,3667.73,MONTHLY
40,80,2414.71,MONTHLY
41,82,3239.53,MONTHLY
42,84,4498.85,MONTHLY
43,86,4895.35,MONTHLY
44,88,3997.91,MONTHLY
45,90,4703.06,MONTHLY
46,92,1946.95,MONTHLY
47,94,1650.01,MONTHLY
48,96,4199.55,MONTHLY
49,98,1708.21,MONTHLY
50,100,2649.18,MONTHLY
